Oly contig	SPID	SPID evalue	Gene Name
Ostrea_lur_contig22870	Q6DFJ6	7.00E-33	TBK1_XENLA Serine/threonine-protein kinase TBK1 OS=Xenopus laevis GN=tbk1 PE=2 SV=1
Ostrea_lur_contig22872	O43747	4.00E-69	AP1G1_HUMAN AP-1 complex subunit gamma-1 OS=Homo sapiens GN=AP1G1 PE=1 SV=5
Ostrea_lur_contig22879	Q8WTW3	4.00E-49	COG1_HUMAN Conserved oligomeric Golgi complex subunit 1 OS=Homo sapiens GN=COG1 PE=1 SV=1
Ostrea_lur_contig22884	Q86YJ6	8.00E-25	THNS2_HUMAN Threonine synthase-like 2 OS=Homo sapiens GN=THNSL2 PE=2 SV=2
Ostrea_lur_contig2289	Q2TBK4	5.00E-38	HAUS1_BOVIN HAUS augmin-like complex subunit 1 OS=Bos taurus GN=HAUS1 PE=2 SV=1
Ostrea_lur_contig22895	Q642C0	1.00E-61	DNJC8_RAT DnaJ homolog subfamily C member 8 OS=Rattus norvegicus GN=Dnajc8 PE=2 SV=1
Ostrea_lur_contig22896	Q6IMI6	1.00E-17	ST1C3_HUMAN Sulfotransferase 1C3 OS=Homo sapiens GN=SULT1C3 PE=1 SV=1
Ostrea_lur_contig229	O61462	1.00E-43	RL37A_CRYST 60S ribosomal protein L37a OS=Cryptochiton stelleri GN=RPL37A PE=3 SV=3
Ostrea_lur_contig2290	Q9D845	1.00E-45	TEX9_MOUSE Testis-expressed sequence 9 protein OS=Mus musculus GN=Tex9 PE=2 SV=1
Ostrea_lur_contig22901	Q95ZJ1	2.00E-66	GALT5_CAEEL Polypeptide N-acetylgalactosaminyltransferase 5 OS=Caenorhabditis elegans GN=gly-5 PE=1 SV=2
Ostrea_lur_contig22902	Q9Y426	1.00E-06	CU025_HUMAN C2 domain-containing protein 2 OS=Homo sapiens GN=C2CD2 PE=1 SV=2
Ostrea_lur_contig22904	Q5U3A7	3.00E-24	"OPA1_DANRE Dynamin-like 120 kDa protein, mitochondrial OS=Danio rerio GN=opa1 PE=2 SV=1"
Ostrea_lur_contig22907	Q5RF70	2.00E-39	ZN501_PONAB Zinc finger protein 501 OS=Pongo abelii GN=ZNF501 PE=2 SV=3
Ostrea_lur_contig2291	P80025	1.00E-44	PERL_BOVIN Lactoperoxidase OS=Bos taurus GN=LPO PE=1 SV=1
Ostrea_lur_contig22911	Q01989	1.00E-33	MYS9_DROME Myosin heavy chain 95F OS=Drosophila melanogaster GN=jar PE=2 SV=3
Ostrea_lur_contig22915	Q2TBP8	2.00E-17	"M11D1_BOVIN Protein RSM22 homolog, mitochondrial OS=Bos taurus GN=METT11D1 PE=2 SV=1"
Ostrea_lur_contig22916	P07207	3.00E-07	NOTCH_DROME Neurogenic locus Notch protein OS=Drosophila melanogaster GN=N PE=1 SV=3
Ostrea_lur_contig22917	Q8BRK8	0	AAPK2_MOUSE 5'-AMP-activated protein kinase catalytic subunit alpha-2 OS=Mus musculus GN=Prkaa2 PE=1 SV=2
Ostrea_lur_contig2292	P00516	0	"KGP1A_BOVIN cGMP-dependent protein kinase 1, alpha isozyme OS=Bos taurus GN=PRKG1 PE=1 SV=2"
Ostrea_lur_contig22920	A7MCB7	4.00E-44	CD043_DANRE UPF0534 protein C4orf43 homolog OS=Danio rerio GN=zgc:110664 PE=2 SV=1
Ostrea_lur_contig22921	Q70CQ2	4.00E-156	UBP34_HUMAN Ubiquitin carboxyl-terminal hydrolase 34 OS=Homo sapiens GN=USP34 PE=1 SV=2
Ostrea_lur_contig22922	Q9UPS8	1.00E-19	ANR26_HUMAN Ankyrin repeat domain-containing protein 26 OS=Homo sapiens GN=ANKRD26 PE=1 SV=3
Ostrea_lur_contig22927	Q6GQ37	3.00E-33	"MIDA_XENLA Protein midA homolog, mitochondrial OS=Xenopus laevis PE=2 SV=1"
Ostrea_lur_contig2293	Q5THR3	9.00E-24	EFCB6_HUMAN EF-hand calcium-binding domain-containing protein 6 OS=Homo sapiens GN=EFCAB6 PE=1 SV=1
Ostrea_lur_contig22935	Q99758	2.00E-57	ABCA3_HUMAN ATP-binding cassette sub-family A member 3 OS=Homo sapiens GN=ABCA3 PE=1 SV=2
Ostrea_lur_contig22939	Q9D6Y9	1.00E-59	"GLGB_MOUSE 1,4-alpha-glucan-branching enzyme OS=Mus musculus GN=Gbe1 PE=2 SV=1"
Ostrea_lur_contig2294	P91685	6.00E-09	GRM_DROME Metabotropic glutamate receptor OS=Drosophila melanogaster GN=mGluRA PE=1 SV=2
Ostrea_lur_contig22941	P12527	9.00E-23	LOX5_RAT Arachidonate 5-lipoxygenase OS=Rattus norvegicus GN=Alox5 PE=1 SV=3
Ostrea_lur_contig22942	Q80ZA4	3.00E-42	PKHL1_MOUSE Fibrocystin-L OS=Mus musculus GN=Pkhd1l1 PE=2 SV=1
Ostrea_lur_contig22944	A6QLY2	5.00E-16	GPX7_BOVIN Glutathione peroxidase 7 OS=Bos taurus GN=GPX7 PE=2 SV=1
Ostrea_lur_contig22951	Q4KLM5	5.00E-17	ABT1_RAT Activator of basal transcription 1 OS=Rattus norvegicus GN=Abt1 PE=1 SV=1
Ostrea_lur_contig22952	Q32Q90	8.00E-22	CN153_RAT UPF0671 protein C14orf153 homolog OS=Rattus norvegicus PE=2 SV=1
Ostrea_lur_contig2296	P30842	4.00E-41	CROM_OMMSL Omega-crystallin OS=Ommastrephes sloanei PE=2 SV=3
Ostrea_lur_contig22960	Q5TZ24	3.00E-75	MOXD1_DANRE DBH-like monooxygenase protein 1 homolog OS=Danio rerio GN=moxd1 PE=2 SV=2
Ostrea_lur_contig22961	Q00004	3.00E-121	SRP68_CANFA Signal recognition particle 68 kDa protein OS=Canis familiaris GN=SRP68 PE=1 SV=1
Ostrea_lur_contig22965	Q96MW5	4.00E-34	COG8_HUMAN Conserved oligomeric Golgi complex subunit 8 OS=Homo sapiens GN=COG8 PE=1 SV=2
Ostrea_lur_contig22967	P21575	0	DYN1_RAT Dynamin-1 OS=Rattus norvegicus GN=Dnm1 PE=1 SV=2
Ostrea_lur_contig22970	Q9NPB0	2.00E-08	CF064_HUMAN Uncharacterized protein C6orf64 OS=Homo sapiens GN=C6orf64 PE=2 SV=1
Ostrea_lur_contig22971	Q5TZA2	3.00E-66	CROCC_HUMAN Rootletin OS=Homo sapiens GN=CROCC PE=1 SV=1
Ostrea_lur_contig22975	Q05B67	9.00E-17	CR019_BOVIN Uncharacterized protein C18orf19 homolog OS=Bos taurus PE=2 SV=1
Ostrea_lur_contig22978	Q7Z4S6	1.00E-23	KI21A_HUMAN Kinesin-like protein KIF21A OS=Homo sapiens GN=KIF21A PE=1 SV=2
Ostrea_lur_contig2298	P46412	4.00E-40	GPX3_MOUSE Glutathione peroxidase 3 OS=Mus musculus GN=Gpx3 PE=2 SV=2
Ostrea_lur_contig22980	P42285	1.00E-109	SK2L2_HUMAN Superkiller viralicidic activity 2-like 2 OS=Homo sapiens GN=SKIV2L2 PE=1 SV=3
Ostrea_lur_contig22986	P47727	8.00E-43	CBR1_RAT Carbonyl reductase [NADPH] 1 OS=Rattus norvegicus GN=Cbr1 PE=1 SV=2
Ostrea_lur_contig22994	Q5T4S7	2.00E-160	UBR4_HUMAN E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens GN=UBR4 PE=1 SV=1
Ostrea_lur_contig22995	Q9Y702	1.00E-94	ACT1_SCHCO Actin-1 OS=Schizophyllum commune GN=ACT1 PE=2 SV=1
Ostrea_lur_contig22996	Q9ULG3	1.00E-06	K1257_HUMAN Uncharacterized protein KIAA1257 OS=Homo sapiens GN=KIAA1257 PE=2 SV=2
Ostrea_lur_contig22999	Q3V129	1.00E-33	ULK4_MOUSE Serine/threonine-protein kinase ULK4 OS=Mus musculus GN=Ulk4 PE=2 SV=2
Ostrea_lur_contig23	Q9CQ29	2.00E-06	RN151_MOUSE RING finger protein 151 OS=Mus musculus GN=Rnf151 PE=1 SV=1
Ostrea_lur_contig2300	Q9PRL8	3.00E-38	ACBP_CHICK Acyl-CoA-binding protein OS=Gallus gallus GN=DBI PE=1 SV=1
Ostrea_lur_contig23001	Q90844	1.00E-06	FST_CHICK Follistatin OS=Gallus gallus GN=FST PE=2 SV=1
Ostrea_lur_contig23003	Q99JL1	2.00E-38	SPEF1_MOUSE Sperm flagellar protein 1 OS=Mus musculus GN=Spef1 PE=2 SV=1
Ostrea_lur_contig23005	P56192	2.00E-13	"SYMC_HUMAN Methionyl-tRNA synthetase, cytoplasmic OS=Homo sapiens GN=MARS PE=1 SV=2"
Ostrea_lur_contig23007	Q1LV22	6.00E-58	K1370_DANRE Uncharacterized protein KIAA1370 homolog OS=Danio rerio GN=si:dkey-266j9.3 PE=4 SV=1
Ostrea_lur_contig23008	Q920G9	3.00E-62	GMCL1_MOUSE Germ cell-less protein-like 1 OS=Mus musculus GN=Gmcl1 PE=1 SV=2
Ostrea_lur_contig2301	P54366	2.00E-22	GSC_DROME Homeobox protein goosecoid OS=Drosophila melanogaster GN=Gsc PE=1 SV=1
Ostrea_lur_contig23010	Q8NEG5	3.00E-08	ZSWM2_HUMAN Zinc finger SWIM domain-containing protein 2 OS=Homo sapiens GN=ZSWIM2 PE=1 SV=1
Ostrea_lur_contig2302	P47801	6.00E-05	EMP1_MOUSE Epithelial membrane protein 1 OS=Mus musculus GN=Emp1 PE=1 SV=2
Ostrea_lur_contig23022	P82596	1.00E-15	PLC_HALLA Perlucin OS=Haliotis laevigata PE=1 SV=3
Ostrea_lur_contig23024	P08472	4.00E-06	M130_STRPU Mesenchyme-specific cell surface glycoprotein OS=Strongylocentrotus purpuratus PE=2 SV=2
Ostrea_lur_contig23025	Q92753	2.00E-12	RORB_HUMAN Nuclear receptor ROR-beta OS=Homo sapiens GN=RORB PE=2 SV=3
Ostrea_lur_contig23027	Q7ZUB3	1.00E-05	TSN31_DANRE Tetraspanin-31 OS=Danio rerio GN=tspan31 PE=2 SV=2
Ostrea_lur_contig2303	Q6NYT3	5.00E-08	IER5L_DANRE Immediate early response gene 5-like protein OS=Danio rerio GN=ier5l PE=2 SV=2
Ostrea_lur_contig23035	Q8CBH5	2.00E-23	MFSD6_MOUSE Major facilitator superfamily domain-containing protein 6 OS=Mus musculus GN=Mfsd6 PE=1 SV=1
Ostrea_lur_contig23037	Q99J36	2.00E-10	THUM1_MOUSE THUMP domain-containing protein 1 OS=Mus musculus GN=Thumpd1 PE=1 SV=1
Ostrea_lur_contig2304	Q8IUL8	8.00E-05	CILP2_HUMAN Cartilage intermediate layer protein 2 OS=Homo sapiens GN=CILP2 PE=2 SV=2
Ostrea_lur_contig23041	Q90593	0	GRP78_CHICK 78 kDa glucose-regulated protein OS=Gallus gallus GN=HSPA5 PE=2 SV=1
Ostrea_lur_contig23042	Q562D6	2.00E-38	NAP1_MOUSE Nef-associated protein 1 OS=Mus musculus GN=Nap1 PE=2 SV=2
Ostrea_lur_contig23044	Q17LW0	4.00E-06	MYO7A_AEDAE Myosin-VIIa OS=Aedes aegypti GN=ck PE=3 SV=1
Ostrea_lur_contig2305	Q2YDN4	4.00E-25	CC105_BOVIN Coiled-coil domain-containing protein 105 OS=Bos taurus GN=CCDC105 PE=2 SV=1
Ostrea_lur_contig23051	Q4L9D7	1.00E-10	BETA_STAHJ Choline dehydrogenase OS=Staphylococcus haemolyticus (strain JCSC1435) GN=betA PE=3 SV=1
Ostrea_lur_contig23053	O35551	4.00E-21	RABE1_MOUSE Rab GTPase-binding effector protein 1 OS=Mus musculus GN=Rabep1 PE=1 SV=1
Ostrea_lur_contig23055	Q9D8S9	1.00E-21	BOLA1_MOUSE BolA-like protein 1 OS=Mus musculus GN=Bola1 PE=1 SV=1
Ostrea_lur_contig23057	Q03721	4.00E-26	KCNC4_HUMAN Potassium voltage-gated channel subfamily C member 4 OS=Homo sapiens GN=KCNC4 PE=1 SV=2
Ostrea_lur_contig23059	Q8NF91	2.00E-05	SYNE1_HUMAN Nesprin-1 OS=Homo sapiens GN=SYNE1 PE=1 SV=3
Ostrea_lur_contig2306	O57321	1.00E-82	EAA1_AMBTI Excitatory amino acid transporter 1 OS=Ambystoma tigrinum GN=SLC1A3 PE=2 SV=1
Ostrea_lur_contig23060	Q7ZYI9	5.00E-12	CP057_XENLA UPF0406 protein C16orf57 homolog OS=Xenopus laevis PE=2 SV=1
Ostrea_lur_contig23064	Q9R0M6	7.00E-11	RAB9A_MOUSE Ras-related protein Rab-9A OS=Mus musculus GN=Rab9a PE=1 SV=1
Ostrea_lur_contig23065	Q3TZX8	3.00E-08	NOL9_MOUSE Nucleolar protein 9 OS=Mus musculus GN=Nol9 PE=2 SV=1
Ostrea_lur_contig23069	Q2KI95	5.00E-18	FHL2_BOVIN Four and a half LIM domains protein 2 OS=Bos taurus GN=FHL2 PE=2 SV=1
Ostrea_lur_contig23070	P27653	2.00E-30	"C1TC_RAT C-1-tetrahydrofolate synthase, cytoplasmic OS=Rattus norvegicus GN=Mthfd1 PE=1 SV=3"
Ostrea_lur_contig23071	O94762	5.00E-15	RECQ5_HUMAN ATP-dependent DNA helicase Q5 OS=Homo sapiens GN=RECQL5 PE=1 SV=2
Ostrea_lur_contig23079	Q92614	3.00E-31	MY18A_HUMAN Myosin-XVIIIa OS=Homo sapiens GN=MYO18A PE=1 SV=3
Ostrea_lur_contig2308	P10090	1.00E-152	WHITE_DROME Protein white OS=Drosophila melanogaster GN=w PE=1 SV=2
Ostrea_lur_contig23084	Q4R4W5	5.00E-20	IDI1_MACFA Isopentenyl-diphosphate Delta-isomerase 1 OS=Macaca fascicularis GN=IDI1 PE=2 SV=2
Ostrea_lur_contig23086	Q6AW47	5.00E-13	EST7_CANFA Carboxylesterase 7 OS=Canis familiaris GN=CES7 PE=2 SV=1
Ostrea_lur_contig2309	Q12768	0	STRUM_HUMAN WASH complex subunit strumpellin OS=Homo sapiens GN=KIAA0196 PE=1 SV=1
Ostrea_lur_contig23090	P97526	3.00E-33	NF1_RAT Neurofibromin OS=Rattus norvegicus GN=Nf1 PE=1 SV=1
Ostrea_lur_contig23091	Q9BY12	2.00E-25	SCAPE_HUMAN S phase cyclin A-associated protein in the endoplasmic reticulum OS=Homo sapiens GN=SCAPER PE=1 SV=1
Ostrea_lur_contig23094	Q8K214	5.00E-14	SCMH1_MOUSE Polycomb protein SCMH1 OS=Mus musculus GN=Scmh1 PE=1 SV=1
Ostrea_lur_contig2310	Q5RA17	2.00E-55	RRP7A_PONAB Ribosomal RNA-processing protein 7 homolog A OS=Pongo abelii GN=RRP7A PE=2 SV=1
Ostrea_lur_contig23102	P21359	9.00E-26	NF1_HUMAN Neurofibromin OS=Homo sapiens GN=NF1 PE=1 SV=2
Ostrea_lur_contig23105	Q7QJT4	2.00E-15	PRIC1_ANOGA Protein prickle OS=Anopheles gambiae GN=pk PE=3 SV=4
Ostrea_lur_contig23107	Q4KLH6	8.00E-26	QN1_RAT Protein QN1 homolog OS=Rattus norvegicus GN=Qn1 PE=1 SV=2
Ostrea_lur_contig23109	Q9D799	6.00E-07	"FMT_MOUSE Methionyl-tRNA formyltransferase, mitochondrial OS=Mus musculus GN=Mtfmt PE=2 SV=2"
Ostrea_lur_contig2311	A8MYZ0	3.00E-26	F1882_HUMAN Protein FAM188B2 OS=Homo sapiens GN=FAM188B2 PE=3 SV=2
Ostrea_lur_contig23112	Q9BZF3	5.00E-42	OSBL6_HUMAN Oxysterol-binding protein-related protein 6 OS=Homo sapiens GN=OSBPL6 PE=1 SV=1
Ostrea_lur_contig23113	Q04164	1.00E-08	SAS_DROME Putative epidermal cell surface receptor OS=Drosophila melanogaster GN=sas PE=1 SV=2
Ostrea_lur_contig23117	Q8TCE6	3.00E-48	FA45A_HUMAN Protein FAM45A OS=Homo sapiens GN=FAM45A PE=2 SV=1
Ostrea_lur_contig23119	Q09621	8.00E-56	LACT2_CAEEL Beta-lactamase domain-containing protein 2 OS=Caenorhabditis elegans GN=lact-2 PE=2 SV=1
Ostrea_lur_contig23120	Q8NHH1	9.00E-35	TTL11_HUMAN Tubulin polyglutamylase TTLL11 OS=Homo sapiens GN=TTLL11 PE=2 SV=1
Ostrea_lur_contig23123	Q66PG3	5.00E-62	LARGE_CHICK Glycosyltransferase-like protein LARGE1 OS=Gallus gallus GN=LARGE PE=2 SV=1
Ostrea_lur_contig23127	Q9W6B3	2.00E-118	RARB_COTJA Retinoic acid receptor beta OS=Coturnix coturnix japonica GN=RARB PE=2 SV=1
Ostrea_lur_contig2313	Q9DAN6	3.00E-21	GTSF1_MOUSE Gametocyte-specific factor 1 OS=Mus musculus GN=Gtsf1 PE=2 SV=1
Ostrea_lur_contig23132	Q8NBX0	2.00E-27	SCPDH_HUMAN Probable saccharopine dehydrogenase OS=Homo sapiens GN=SCCPDH PE=1 SV=1
Ostrea_lur_contig23133	Q8CI66	3.00E-24	STML1_MOUSE Stomatin-like protein 1 OS=Mus musculus GN=Stoml1 PE=2 SV=1
Ostrea_lur_contig23134	Q13561	1.00E-26	DCTN2_HUMAN Dynactin subunit 2 OS=Homo sapiens GN=DCTN2 PE=1 SV=4
Ostrea_lur_contig2314	Q9UBE8	0	NLK_HUMAN Serine/threonine protein kinase NLK OS=Homo sapiens GN=NLK PE=1 SV=2
Ostrea_lur_contig23142	Q9ET22	1.00E-43	DPP2_MOUSE Dipeptidyl-peptidase 2 OS=Mus musculus GN=Dpp7 PE=2 SV=1
Ostrea_lur_contig23149	P39656	1.00E-22	OST48_HUMAN Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens GN=DDOST PE=1 SV=4
Ostrea_lur_contig2315	Q8UWA5	2.00E-74	CAH2_TRIHK Carbonic anhydrase 2 OS=Tribolodon hakonensis GN=ca2 PE=2 SV=3
Ostrea_lur_contig23155	Q75WF2	3.00E-06	DNA2_ACAPL Plancitoxin-1 OS=Acanthaster planci PE=1 SV=1
Ostrea_lur_contig2316	Q15814	1.00E-52	TBCC_HUMAN Tubulin-specific chaperone C OS=Homo sapiens GN=TBCC PE=1 SV=1
Ostrea_lur_contig23161	Q8N895	1.00E-79	ZN366_HUMAN Zinc finger protein 366 OS=Homo sapiens GN=ZNF366 PE=2 SV=1
Ostrea_lur_contig23162	P97554	3.00E-17	DNJB9_RAT DnaJ homolog subfamily B member 9 OS=Rattus norvegicus GN=Dnajb9 PE=2 SV=2
Ostrea_lur_contig23172	Q8BMA6	2.00E-25	SRP68_MOUSE Signal recognition particle 68 kDa protein OS=Mus musculus GN=Srp68 PE=2 SV=1
Ostrea_lur_contig23173	Q60LV4	4.00E-05	MYO3_CAEBR Myosin-3 OS=Caenorhabditis briggsae GN=myo-3 PE=3 SV=1
Ostrea_lur_contig23175	Q5U593	2.00E-29	STYXB_XENLA Serine/threonine/tyrosine-interacting protein B OS=Xenopus laevis GN=styx-B PE=2 SV=1
Ostrea_lur_contig23177	Q9Y3Q0	5.00E-58	NALD2_HUMAN N-acetylated-alpha-linked acidic dipeptidase 2 OS=Homo sapiens GN=NAALAD2 PE=1 SV=1
Ostrea_lur_contig2318	P00518	3.00E-135	"PHKG1_RABIT Phosphorylase b kinase gamma catalytic chain, skeletal muscle isoform OS=Oryctolagus cuniculus GN=PHKG1 PE=1 SV=2"
Ostrea_lur_contig23182	P79943	4.00E-33	SLBP1_XENLA Histone RNA hairpin-binding protein OS=Xenopus laevis GN=slbp1 PE=1 SV=1
Ostrea_lur_contig23184	Q96QE2	8.00E-14	MYCT_HUMAN Proton myo-inositol cotransporter OS=Homo sapiens GN=SLC2A13 PE=1 SV=2
Ostrea_lur_contig23185	P25666	5.00E-14	HTRL_ECOLI Protein htrL OS=Escherichia coli (strain K12) GN=htrL PE=4 SV=2
Ostrea_lur_contig23188	P97772	2.00E-05	GRM1_MOUSE Metabotropic glutamate receptor 1 OS=Mus musculus GN=Grm1 PE=2 SV=2
Ostrea_lur_contig23189	Q9VEX0	9.00E-67	SULF1_DROME Extracellular sulfatase SULF-1 homolog OS=Drosophila melanogaster GN=Sulf1 PE=1 SV=1
Ostrea_lur_contig2319	P00126	5.00E-08	"QCR6_BOVIN Cytochrome b-c1 complex subunit 6, mitochondrial OS=Bos taurus GN=UQCRH PE=1 SV=2"
Ostrea_lur_contig23190	Q5KU26	3.00E-09	COL12_HUMAN Collectin-12 OS=Homo sapiens GN=COLEC12 PE=1 SV=2
Ostrea_lur_contig23192	Q9BY84	3.00E-24	DUS16_HUMAN Dual specificity protein phosphatase 16 OS=Homo sapiens GN=DUSP16 PE=1 SV=1
Ostrea_lur_contig23193	Q7RTS6	1.00E-05	OTOP2_HUMAN Otopetrin-2 OS=Homo sapiens GN=OTOP2 PE=2 SV=2
Ostrea_lur_contig23194	Q12955	4.00E-08	ANK3_HUMAN Ankyrin-3 OS=Homo sapiens GN=ANK3 PE=1 SV=3
Ostrea_lur_contig23196	Q5SQX6	5.00E-05	CYFP2_MOUSE Cytoplasmic FMR1-interacting protein 2 OS=Mus musculus GN=Cyfip2 PE=1 SV=2
Ostrea_lur_contig23197	O94915	2.00E-21	FRYL_HUMAN Protein furry homolog-like OS=Homo sapiens GN=FRYL PE=1 SV=2
Ostrea_lur_contig23198	O00148	3.00E-38	DDX39_HUMAN ATP-dependent RNA helicase DDX39 OS=Homo sapiens GN=DDX39 PE=1 SV=2
Ostrea_lur_contig23202	P35492	2.00E-32	HUTH_MOUSE Histidine ammonia-lyase OS=Mus musculus GN=Hal PE=1 SV=1
Ostrea_lur_contig23203	Q5F2F2	2.00E-11	ABH15_MOUSE Abhydrolase domain-containing protein 15 OS=Mus musculus GN=Abhd15 PE=2 SV=1
Ostrea_lur_contig23207	Q8WW62	3.00E-10	TMED6_HUMAN Transmembrane emp24 domain-containing protein 6 OS=Homo sapiens GN=TMED6 PE=2 SV=2
Ostrea_lur_contig2321	Q9CR35	8.00E-52	CTRB1_MOUSE Chymotrypsinogen B OS=Mus musculus GN=Ctrb1 PE=2 SV=1
Ostrea_lur_contig23217	Q5S003	3.00E-12	SPG17_MOUSE Sperm-associated antigen 17 OS=Mus musculus GN=Spag17 PE=1 SV=1
Ostrea_lur_contig23218	Q9JIL9	1.00E-08	NBN_RAT Nibrin OS=Rattus norvegicus GN=Nbn PE=1 SV=2
Ostrea_lur_contig23222	P49021	8.00E-16	TIM_DROME Protein timeless OS=Drosophila melanogaster GN=tim PE=1 SV=2
Ostrea_lur_contig23226	Q13415	2.00E-85	ORC1_HUMAN Origin recognition complex subunit 1 OS=Homo sapiens GN=ORC1L PE=1 SV=2
Ostrea_lur_contig23227	Q4R7M4	4.00E-15	DTWD2_MACFA DTW domain-containing protein 2 OS=Macaca fascicularis GN=DTWD2 PE=2 SV=1
Ostrea_lur_contig23229	Q86XN6	2.00E-24	ZN761_HUMAN Zinc finger protein 761 OS=Homo sapiens GN=ZNF761 PE=2 SV=2
Ostrea_lur_contig23233	Q4V8B3	2.00E-12	MED24_RAT Mediator of RNA polymerase II transcription subunit 24 OS=Rattus norvegicus GN=Med24 PE=2 SV=1
Ostrea_lur_contig23236	Q03720	2.00E-57	SLO_DROME Calcium-activated potassium channel slowpoke OS=Drosophila melanogaster GN=slo PE=1 SV=3
Ostrea_lur_contig23240	Q6IQ20	1.00E-120	NAPEP_HUMAN N-acyl-phosphatidylethanolamine-hydrolyzing phospholipase D OS=Homo sapiens GN=NAPEPLD PE=1 SV=2
Ostrea_lur_contig23241	Q6NT16	7.00E-15	CF192_HUMAN Uncharacterized MFS-type transporter C6orf192 OS=Homo sapiens GN=C6orf192 PE=2 SV=1
Ostrea_lur_contig23242	Q9JLV1	2.00E-11	BAG3_MOUSE BAG family molecular chaperone regulator 3 OS=Mus musculus GN=Bag3 PE=1 SV=1
Ostrea_lur_contig23244	Q56A55	3.00E-34	"ABCB8_DANRE ATP-binding cassette sub-family B member 8, mitochondrial OS=Danio rerio GN=abcb8 PE=2 SV=1"
Ostrea_lur_contig23245	O24145	6.00E-17	4CL1_TOBAC 4-coumarate--CoA ligase 1 OS=Nicotiana tabacum GN=4CL1 PE=2 SV=1
Ostrea_lur_contig2325	P35520	8.00E-38	CBS_HUMAN Cystathionine beta-synthase OS=Homo sapiens GN=CBS PE=1 SV=2
Ostrea_lur_contig23250	Q6GUQ4	2.00E-32	CP2E1_MACMU Cytochrome P450 2E1 OS=Macaca mulatta GN=CYP2E1 PE=2 SV=1
Ostrea_lur_contig23251	Q5F4C0	4.00E-05	HVCN1_CHICK Voltage-gated hydrogen channel 1 OS=Gallus gallus GN=HVCN1 PE=2 SV=1
Ostrea_lur_contig23259	O02773	1.00E-54	"MA1A1_PIG Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA OS=Sus scrofa GN=MAN1A1 PE=1 SV=1"
Ostrea_lur_contig23262	Q6B9X6	8.00E-05	VWKA_DICDI Alpha-protein kinase vwkA OS=Dictyostelium discoideum GN=vwkA PE=1 SV=1
Ostrea_lur_contig23263	A6P3B2	7.00E-05	FMRF_MUSDO FMRFamide neuropeptides OS=Musca domestica GN=fmrf PE=1 SV=1
Ostrea_lur_contig23264	Q07157	1.00E-27	ZO1_HUMAN Tight junction protein ZO-1 OS=Homo sapiens GN=TJP1 PE=1 SV=3
Ostrea_lur_contig23266	Q99PV0	2.00E-97	PRP8_MOUSE Pre-mRNA-processing-splicing factor 8 OS=Mus musculus GN=Prpf8 PE=1 SV=2
Ostrea_lur_contig23267	P23220	4.00E-93	AT2B1_PIG Plasma membrane calcium-transporting ATPase 1 OS=Sus scrofa GN=ATP2B1 PE=2 SV=1
Ostrea_lur_contig2327	P98088	4.00E-10	MUC5A_HUMAN Mucin-5AC (Fragments) OS=Homo sapiens GN=MUC5AC PE=1 SV=3
Ostrea_lur_contig23271	Q8C8R3	4.00E-05	ANK2_MOUSE Ankyrin-2 OS=Mus musculus GN=Ank2 PE=1 SV=2
Ostrea_lur_contig23273	P70414	3.00E-23	NAC1_MOUSE Sodium/calcium exchanger 1 OS=Mus musculus GN=Slc8a1 PE=1 SV=1
Ostrea_lur_contig23281	Q8IUD2	2.00E-21	RB6I2_HUMAN ELKS/RAB6-interacting/CAST family member 1 OS=Homo sapiens GN=ERC1 PE=1 SV=1
Ostrea_lur_contig23286	Q71FD5	7.00E-43	ZNRF2_MOUSE E3 ubiquitin-protein ligase ZNRF2 OS=Mus musculus GN=Znrf2 PE=1 SV=1
Ostrea_lur_contig23288	P22935	3.00E-18	RABP2_MOUSE Cellular retinoic acid-binding protein 2 OS=Mus musculus GN=Crabp2 PE=2 SV=2
Ostrea_lur_contig23291	Q9CU62	1.00E-90	SMC1A_MOUSE Structural maintenance of chromosomes protein 1A OS=Mus musculus GN=Smc1a PE=1 SV=3
Ostrea_lur_contig23294	O01761	1.00E-05	UNC89_CAEEL Muscle M-line assembly protein unc-89 OS=Caenorhabditis elegans GN=unc-89 PE=1 SV=3
Ostrea_lur_contig23295	Q6TFL4	2.00E-49	KLH24_HUMAN Kelch-like protein 24 OS=Homo sapiens GN=KLHL24 PE=2 SV=1
Ostrea_lur_contig233	P57721	5.00E-24	PCBP3_HUMAN Poly(rC)-binding protein 3 OS=Homo sapiens GN=PCBP3 PE=1 SV=1
Ostrea_lur_contig2330	Q5R7K7	4.00E-09	SENP2_PONAB Sentrin-specific protease 2 OS=Pongo abelii GN=SENP2 PE=2 SV=1
Ostrea_lur_contig23304	Q54HG7	2.00E-05	"AUHM_DICDI Methylglutaconyl-CoA hydratase, mitochondrial OS=Dictyostelium discoideum GN=auh PE=3 SV=1"
Ostrea_lur_contig23305	Q03249	7.00E-26	GALT_MOUSE Galactose-1-phosphate uridylyltransferase OS=Mus musculus GN=Galt PE=2 SV=3
